sort v2024,species_code,Clements v2024b change,text for website v2024b,category,English name,scientific name,range,order,family,extinct,extinct year,sort_v2023,de_name,es_name,ukrainian_name,ar_name
22,okbkiw1,,,species,Okarito Brown Kiwi,Apteryx rowi,"Okarito Forest (west coast of South Island, New Zealand)",Apterygiformes,Apterygidae (Kiwis),,,216,Okarito-Kiwi,Kiwi de Okarito,Окаріто-ківі,كيوي أوكاريتو
23,nibkiw1,,,species,North Island Brown Kiwi,Apteryx mantelli,North Island (New Zealand),Apterygiformes,Apterygidae (Kiwis),,,217,Nordinsel-Kiwi,Kiwi de la Isla Norte,Ківі північного острова,كيوي جزيرة الشمال
24,liskiw1,,,species,Little Spotted Kiwi,Apteryx owenii,"Kapiti, South, and formerly North islands (New Zealand)",Apterygiformes,Apterygidae (Kiwis),,,218,Kleiner gefleckter Kiwi,Kiwi manchado pequeño,Ківі маленький плямистий,كيوي مرقط صغير
26,grskiw1,name change - sciname; range,"Change specific epithet of Great Spotted Kiwi from Apteryx haastii to Apteryx maxima; range changed from ""forest of South Island (New Zealand)"" to ""montane forest of northwestern South Island (New Zealand)""",species,Great Spotted Kiwi,Apteryx maxima,montane forest of northwestern South Island (New Zealand),Apterygiformes,Apterygidae (Kiwis),,,220,Großer gefleckter Kiwi,Kiwi moteado grande,Великий плямистий ківі,كيوي مرقط كبير
28,rheida1,sequence,Modify linear sequence such that the Rheiformes/Tinamiformes clade follows Apterygidae,family,Rheas,Rheidae,,Rheiformes,Rheidae (Rheas),,,9,Nandus,Rhea,Рея,رايا
29,grerhe1,,,species,Greater Rhea,Rhea americana,,Rheiformes,Rheidae (Rheas),,,10,Großer Nandu,Rhea americana,Рея американська,ريا الأمريكية
30,grerhe2,,,subspecies,Greater Rhea,Rhea americana araneipes,"western Brazil (southern Rondônia and Mato Grosso), eastern Bolivia, and western Paraguay (Chaco region)",Rheiformes,Rheidae (Rheas),,,11,Rhea,Rhea,Рея,رايا
31,grerhe3,,,subspecies,Greater Rhea,Rhea americana americana,central and northeastern Brazil (to Rio Grande do Norte) to southern Brazil (southward to São Paulo and Paraná),Rheiformes,Rheidae (Rheas),,,12,Nandu,Nandu,Нанду,ناندو
32,grerhe4,,,subspecies,Greater Rhea,Rhea americana nobilis,eastern Paraguay (east of the Río Paraguay),Rheiformes,Rheidae (Rheas),,,13,Nördlicher Rhea,Rhea americana,Південний страус,نعامة أمريكية
33,grerhe5,,,subspecies,Greater Rhea,Rhea americana albescens,pampas of Argentina southward to Río Negro,Rheiformes,Rheidae (Rheas),,,14,Nandu,Nandu,Нанду,ناندو
34,grerhe6,,,subspecies,Greater Rhea,Rhea americana intermedia,far southern Brazil (Rio Grande do Sul) and Uruguay,Rheiformes,Rheidae (Rheas),,,15,Nandu,Nandu,Нанду,ناندو
35,lesrhe2,,,species,Lesser Rhea,Rhea pennata,,Rheiformes,Rheidae (Rheas),,,16,Kleiner Nandu,Rhea menor,Ряба ряха,رايا أصغر
36,lesrhe4,,,group (polytypic),Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,,Rheiformes,Rheidae (Rheas),,,17,Nandus,Rhea,Нанду,ناندو
37,lesrhe1,,,subspecies,Southern Rhea,Rhea pennata garleppi,"desert puna of southeastern Peru, southwestern Bolivia, and northwestern Argentina",Rheiformes,Rheidae (Rheas),,,18,Andenkondor,Rhea patagónica,Рея патагонська,ريه باتاغونيا
38,lesrhe5,,,subspecies,Southern Rhea,Rhea pennata tarapacensis,puna of northern Chile (Arica to Atacama),Rheiformes,Rheidae (Rheas),,,19,Andenstrauß,Ñandú de la Patagonia,Нанду патагонський,نعام الأنديز
39,lesrhe3,,,group (monotypic),Lesser Rhea (Darwin's),Rhea pennata pennata,steppe of southern Chile (Magallanes) and southern Argentina,Rheiformes,Rheidae (Rheas),,,20,Nandu,Nandu,Нанду,ناندو
40,tinami1,sequence,Modify linear sequence such that the Rheiformes/Tinamiformes clade follows Apterygidae,family,Tinamous,Tinamidae,,Tinamiformes,Tinamidae (Tinamous),,,21,Tinamü,Tinamú,Тинаму,تينامو
41,tabtin1,,,species,Tawny-breasted Tinamou,Nothocercus julius,Andes of central Colombia and far western Venezuela; also south-central Peru,Tinamiformes,Tinamidae (Tinamous),,,22,Tawny-breasted Tinamou,Tinamú de pecho pardo,Тинаму рудогрудий,تينامو صدري بني
42,higtin1,,,species,Highland Tinamou,Nothocercus bonapartei,,Tinamiformes,Tinamidae (Tinamous),,,23,Hochlandtinamou,Tinamú de Bonaparte,Тинаму високогірний,تينامو المرتفعات
43,higtin2,,,group (polytypic),Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],,Tinamiformes,Tinamidae (Tinamous),,,24,Hochland-Tinamou,Tinamú de Bonaparte,Тинаму високогірний,تينامو المرتفعات
44,higtin4,,,subspecies,Rufous-vented Ground-Cuckoo,Nothocercus bonapartei intercedens,western Andes of Colombia,Tinamiformes,Tinamidae (Tinamous),,,25,Bonapartes Schopfhuhn,Pava de Bonaparte,Шапковий глухар Бонапарта,دجاجة بونابرت
45,higtin5,,,subspecies,Rufous-vented Ground-Cuckoo,Nothocercus bonapartei discrepans,base of eastern Andes of Colombia (Tolima and Meta),Tinamiformes,Tinamidae (Tinamous),,,26,Bonapartes Nothocercus,Nothocercus de Bonaparte,Нотосеркос Бонапарта,نوتوسيركوس بونابرت
46,higtin6,,,subspecies,Rufous-vented Ground-Cuckoo,Nothocercus bonapartei bonapartei,central and eastern Andes of Colombia and western Venezuela,Tinamiformes,Tinamidae (Tinamous),,,27,Bonapartes Rötel,Rascón de Bonaparte,Розовий рябчик,نقار بونابرت
47,higtin7,,,subspecies,Plumbeous Rail,Nothocercus bonapartei plumbeiceps,Andes of eastern Ecuador to far northern Peru,Tinamiformes,Tinamidae (Tinamous),,,28,Plumbeikopf-Nothocercus,Nothocercus de Bonaparte de cabeza plomiza,Нотосеркос Бонапарта з свинцевою головою,نوتوسيركوس بونابرت ذو الرأس الرصاصي
48,higtin3,,,group (monotypic),Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,highlands of Costa Rica and western Panama,Tinamiformes,Tinamidae (Tinamous),,,29,Bonaparteschnäpper,Pájaro Bonaparte,Птах Бонапарта,طائر بونابرت
49,hootin1,,,species,Hooded Tinamou,Nothocercus nigrocapillus,,Tinamiformes,Tinamidae (Tinamous),,,30,Kapuzentinamou,Tinamú encapuchado,Тинаму капюшоновий,تينامو ذو القلنسوة
50,hootin2,,,subspecies,Black-capped Nighthawk,Nothocercus nigrocapillus cadwaladeri,Andes of northwestern Peru,Tinamiformes,Tinamidae (Tinamous),,,31,Schwarzhaubenkuckuck,Cocleador de cabeza negra,Кукушка чорноголова,دُرَجَةُ السَّقَّارَةِ
51,hootin3,,,subspecies,Black-capped Nothura,Nothocercus nigrocapillus nigrocapillus,Andes of central Peru to Bolivia,Tinamiformes,Tinamidae (Tinamous),,,32,Schwarzhaubenkuckuck,Cuculí de cabeza negra,Кукушка чорноголова,دُرَجَةُ السُّودَاء
52,grytin1,,,species,Gray Tinamou,Tinamus tao,,Tinamiformes,Tinamidae (Tinamous),,,33,Grauer Tinamou,Tinamú gris,Сірий тинамоу,تينامو رمادي
53,grytin2,,,subspecies,Tinamou,Tinamus tao larensis,montane forest of central Colombia and northwestern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,34,Tao-Tinamou,Tinamú tao,Тинаму тао,تينامو تاو
54,grytin3,,,subspecies,Elegant Crested Tinamou,Tinamus tao kleei,"south-central Colombia to eastern Ecuador, eastern Peru, eastern Bolivia, and western Brazil",Tinamiformes,Tinamidae (Tinamous),,,35,Tao-Tinamou,Tinamú tao,Тинаму тао,تينامو تاو
55,grytin4,,,subspecies,Great Tinamou,Tinamus tao septentrionalis,northeastern Venezuela and (?) northwestern Guyana,Tinamiformes,Tinamidae (Tinamous),,,36,Nord-Tinamou,Tinamú del norte,Північний тинам,تينامو الشمالي
56,grytin5,,,subspecies,Great Tinamou,Tinamus tao tao,north-central Brazil to borders of eastern Peru and Bolivia,Tinamiformes,Tinamidae (Tinamous),,,37,Tao-Tinamou,Tinamú tao,Тинаму тао,تينامو تاو
57,soltin1,,,species,Solitary Tinamou,Tinamus solitarius,eastern Brazil to southeastern Paraguay and far northeastern Argentina (Misiones),Tinamiformes,Tinamidae (Tinamous),,,38,Einsame Tinamou,Tinamú solitario,Одиночний тинаму,تينامو المنعزل
58,blatin1,,,species,Black Tinamou,Tinamus osgoodi,,Tinamiformes,Tinamidae (Tinamous),,,39,Schwarzer Tinamou,Tinamú negro,Чорний тинаму,تينامو أسود
59,blktin1,,,subspecies,Osgood's Tinamou,Tinamus osgoodi hershkovitzi,Andes of south-central Colombia,Tinamiformes,Tinamidae (Tinamous),,,40,Osgood-Tinamu,Tinamú de Osgood,Тинаму Оскуда,تينامو أوسغود
60,blktin2,,,subspecies,Osgood's Tinamou,Tinamus osgoodi osgoodi,Andes of southeastern Peru,Tinamiformes,Tinamidae (Tinamous),,,41,Osgood-Tinamou,Tinamú de Osgood,Тинаму Оскуда,تينامو أوسغود
61,gretin1,,,species,Great Tinamou,Tinamus major,,Tinamiformes,Tinamidae (Tinamous),,,42,Großer Tinamou,Tinamú grande,Великий тинаму,تينامو كبير
62,gretin3,,,subspecies,Great Tinamou,Tinamus major robustus,lowlands of southeastern Mexico to Guatemala and northern Nicaragua,Tinamiformes,Tinamidae (Tinamous),,,43,Großer Tinamou,Tinamú mayor,Тинаму великий,تينامو كبير
63,gretin4,,,subspecies,Great Tinamou,Tinamus major percautus,southeastern Mexico (Yucatán Peninsula) to Petén of Guatemala and Belize,Tinamiformes,Tinamidae (Tinamous),,,44,Großer Tinamou,Tinamú mayor,Тинаму великий,تينامو كبير
64,gretin5,,,subspecies,Great Tinamou,Tinamus major fuscipennis,northern Nicaragua to Costa Rica and western Panama,Tinamiformes,Tinamidae (Tinamous),,,45,Schwarzflügel-Tinamou,Tinamú de alas negras,Тинаму великий,تينامو كبير الأجنحة السوداء
65,gretin6,,,subspecies,Great Tinamou,Tinamus major castaneiceps,southwestern Costa Rica and western Panama,Tinamiformes,Tinamidae (Tinamous),,,46,Braunkopf-Tinamu,Tinamú de cabeza castaña,Тинаму великий,تينامو كبير الرأس
66,gretin7,,,subspecies,Great Tinamou,Tinamus major brunneiventris,south-central Panama,Tinamiformes,Tinamidae (Tinamous),,,47,Braunbauch-Tinamou,Tinamú de vientre marrón,Тинаму великий,تينامو كبير البطن البني
67,gretin8,,,subspecies,Great Tinamou,Tinamus major saturatus,Pacific slope of eastern Panama and northwestern Colombia,Tinamiformes,Tinamidae (Tinamous),,,48,Großer Tinamou,Tinamú mayor,Тинаму великий,تينامو كبير
68,gretin9,,,subspecies,Great Tinamou,Tinamus major latifrons,southwestern Colombia and western Ecuador,Tinamiformes,Tinamidae (Tinamous),,,49,Großer Tinamou,Tinamú mayor,Тинаму великий,تينامو كبير
69,gretin10,,,subspecies,Great Tinamou,Tinamus major zuliensis,tropical northeastern Colombia and western Venezuela,Tinamiformes,Tinamidae (Tinamous),,,50,Zulutinamou,Tinamú mayor zuliano,Тинаму великий зулійський,تينامو كبير زولي
70,gretin11,,,subspecies,Great Tinamou,Tinamus major peruvianus,southeastern Colombia east of the Andes to Bolivia and far western Brazil,Tinamiformes,Tinamidae (Tinamous),,,51,Peruanischer Tinamou,Tinamú mayor peruano,Тинаму великий перуанський,تينامو كبير بيروفي
71,gretin12,,,subspecies,Great Tinamou,Tinamus major serratus,far southern Venezuela and adjacent northwestern Brazil,Tinamiformes,Tinamidae (Tinamous),,,52,Großer Tinamou,Tinamú mayor,Тинаму великий,تينامو كبير
72,gretin13,,,subspecies,Great Tinamou,Tinamus major major,eastern Venezuela to the Guianas and northeastern Brazil,Tinamiformes,Tinamidae (Tinamous),,,53,Großer Tinamou,Tinamú mayor,Тинаму великий,تينامو كبير
73,gretin14,,,subspecies,Great Tinamou,Tinamus major olivascens,Amazonian Brazil south of the Amazon River,Tinamiformes,Tinamidae (Tinamous),,,54,Oliventinamou,Tinamú mayor,Тинаму великий,تينامو كبير
74,whttin1,,,species,White-throated Tinamou,Tinamus guttatus,southeastern Colombia and southern Venezuela to northern Bolivia and Amazonian Brazil,Tinamiformes,Tinamidae (Tinamous),,,55,Weißhals-Tinamou,Tinamú de garganta blanca,Тинаму білохвостий,تينامو ذو العنق الأبيض
76,cintin1,,,species,Cinereous Tinamou,Crypturellus cinereus,"southeastern Colombia to the Guianas, southern Venezuela, northern Bolivia, and northeastern Brazil",Tinamiformes,Tinamidae (Tinamous),,,57,Grautinamou,Tinamú ceniciento,Сірий тинамоу,تينامو رمادي
77,bertin1,,,species,Berlepsch's Tinamou,Crypturellus berlepschi,tropical forest of northwestern Colombia to northwestern Ecuador,Tinamiformes,Tinamidae (Tinamous),,,58,Berlepsch-Tinamou,Tinamú de Berlepsch,Тинаму Берлепша,تينامو برليبسش
78,littin1,,,species,Little Tinamou,Crypturellus soui,,Tinamiformes,Tinamidae (Tinamous),,,59,Kleiner Tinamou,Tinamú enano,Малий тинаму,تينامو صغير
79,littin2,,,subspecies,Ruddy Quail-Dove,Crypturellus soui meserythrus,"tropical southern Mexico to Belize, Honduras, and southeastern Nicaragua",Tinamiformes,Tinamidae (Tinamous),,,60,Sumpfhuhn,Pava de monte,Курка болотяна,دجاجة المستنقعات
80,littin3,,,subspecies,Southern Brown Kiwi,Crypturellus soui modestus,Costa Rica and western Panama,Tinamiformes,Tinamidae (Tinamous),,,61,Kleinerdhuhn,Pava de monte,Крихітна куріпка,دجاجة الغابة
81,littin4,,,subspecies,Southern Brown Kiwi,Crypturellus soui capnodes,humid lowlands of northwestern Panama,Tinamiformes,Tinamidae (Tinamous),,,62,Sumpfhuhn,Pava de monte,Курка болотяна,دجاجة المستنقعات
82,littin5,,,subspecies,Rufous-vented Ground-Cuckoo,Crypturellus soui poliocephalus,Pacific slope of Panama (Veraguas to Canal Zone),Tinamiformes,Tinamidae (Tinamous),,,63,Kleinwachtel,Codorniz de cabeza blanca,Крихітна перепілка,السمان ذو الرأس الأبيض
83,littin6,,,subspecies,Southern Brown Kiwi,Crypturellus soui panamensis,Pacific and Caribbean slopes of Panama,Tinamiformes,Tinamidae (Tinamous),,,64,Panama-Kranich,Pava de Panamá,Пава панамська,دجاجة باناما
84,littin7,,,subspecies,Southern Wood-Rail,Crypturellus soui harterti,Pacific slope of Colombia and Ecuador,Tinamiformes,Tinamidae (Tinamous),,,65,Kleinwachtel,Codorniz de pico corto,Короткокрила перепілка,دجاجة الأرض
85,littin8,,,subspecies,Southern Brown Kiwi,Crypturellus soui caucae,Magdalena Valley of north-central Colombia,Tinamiformes,Tinamidae (Tinamous),,,66,Cauca-Kranichhuhn,Pava de Cauca,Каука Криптуреллус,دجاجة كريبتوريلاس كاوكاس
86,littin9,,,subspecies,Southern Brown Kiwi,Crypturellus soui mustelinus,northeastern Colombia and far northwestern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,67,Kleinwachtel,Codorniz de pico corto,Короткокрила перепілка,دجاجة الأرض
87,littin10,,,subspecies,Southern Wood-Rail,Crypturellus soui soui,eastern Colombia to the Guianas and northeastern Brazil,Tinamiformes,Tinamidae (Tinamous),,,68,Süßwasserhühnchen,Pava de monte,Курочка болотяна,دجاجة الماء
88,littin11,,,subspecies,Southern Brown Kiwi,Crypturellus soui caquetae,southeastern Colombia (Meta to Caquetá),Tinamiformes,Tinamidae (Tinamous),,,69,Caquetá-Krypturellus,Cripturelo de Caquetá,Криптуреллус каукета,كريبتوريلوس كاكيتي
89,littin12,,,subspecies,Rufous-vented Ground-Cuckoo,Crypturellus soui andrei,coastal northern Venezuela (Falcón to Monagas) and Trinidad,Tinamiformes,Tinamidae (Tinamous),,,70,Kleinwasserhuhn,Pava de monte,Крихітна водяна курка,دجاجة الماء الصغيرة
90,littin13,,,subspecies,Rufous-breasted Wood Quail,Crypturellus soui nigriceps,tropical eastern Ecuador and northeastern Peru,Tinamiformes,Tinamidae (Tinamous),,,71,Schwarzkopf-Kurznasenralle,Rascón de pico corto de cabeza negra,Коротконосий рябчик з чорним головою,دراج ذو رأس أسود
91,littin14,,,subspecies,Sora,Crypturellus soui inconspicuus,central and eastern Peru and northern Bolivia,Tinamiformes,Tinamidae (Tinamous),,,72,Kleinwachtel,Codorniz de pico corto,Короткокрила перепілка,دجاجة الأرض
92,littin15,,,subspecies,Ruddy-breasted Crake,Crypturellus soui albigularis,northern and eastern Brazil south of the Amazon River and southward to Rio de Janeiro,Tinamiformes,Tinamidae (Tinamous),,,73,Sumpfhuhn,Pava de monte,Курочка болотяна,دجاجة المستنقعات
93,teptin1,,,species,Tepui Tinamou,Crypturellus ptaritepui,tepuis of southern Venezuela (Ptari-tepui and Sororopán-tepui),Tinamiformes,Tinamidae (Tinamous),,,74,Tepui-Tinamou,Tinamú Tepuy,Тинаму Тепуї,تينامو تيبوي
94,brotin1,subspecies revised,,species,Brown Tinamou,Crypturellus obsoletus,,Tinamiformes,Tinamidae (Tinamous),,,75,Braun-Tinamou,Tinamú pardo,Коричневий тинаму,تينامو بني
95,brntin1,,,group (monotypic),Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,tropical eastern Colombia to eastern Ecuador and northern Peru,Tinamiformes,Tinamidae (Tinamous),,,76,Braunbrust-Urwaldhuhn,Pava de monte parda,Курка лісова,دجاجة الغابة البنية
96,brntin2,,,group (polytypic),Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],,Tinamiformes,Tinamidae (Tinamous),,,77,Brauner Tinamou,Tinamú pardo,Коричневий тинаму,تينامو بني
97,brntin3,,,subspecies,Rufous-breasted Wood Quail,Crypturellus obsoletus ochraceiventris,subtropical central Peru (Huánuco to Cusco),Tinamiformes,Tinamidae (Tinamous),,,78,Ochragesicht-Krypturellus,Cripturelo obsoleto de vientre ocráceo,Криптуреллус застарілий з охристим черевом,كريبتوريلوس العتيق ذو البطن الأصفر
98,brntin4,,,subspecies,Gray-breasted Wood-Rail,Crypturellus obsoletus traylori,subtropical southeastern Peru (Marcapata Valley of Cusco),Tinamiformes,Tinamidae (Tinamous),,,79,Schwarzbrust-Perlhuhn,Pava de pecho negro,Перепілка чорнобрюха,دراج أسود الصدر
99,brntin5,,,subspecies,Gray-breasted Wood-Rail,Crypturellus obsoletus punensis,far southeastern Peru and Yungas of northern Bolivia,Tinamiformes,Tinamidae (Tinamous),,,80,Puna-Gelbschenkel,Puna de pico amarillo,Пуна-обсалют,كريبتوريلاس أوبسوليتوس بونينس
100,brntin6,,,subspecies,Rufous-bellied Chachalaca,Crypturellus obsoletus cerviniventris,northern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,81,Rötelralle,Rascón de vientre canela,Курочка рудогруда,دراج رمادي
101,brntin7,,,subspecies,Common Pauraque,Crypturellus obsoletus knoxi,subtropical northwestern Venezuela,Tinamiformes,Tinamidae (Tinamous),,,82,Knox' Schattenhuhn,Gallito de las rocas de Knox,Кнокса криптуреллус,كريبتوريلاس أوبسوليتوس نوكسي
102,brntin8,subspecies deleted; range,"Synonymize Crypturellus obsoletus hypochraceus with Crypturellus obsoletus griseiventris and modify range of griseiventris accordingly; range changed from ""north-central Brazil (Santarém region along Rio Tapajós)"" to ""north-central and southwestern Brazil (Santarém region along Rio Tapajós and upper Rio Madeira in Rondônia)""",subspecies,Gray-breasted Wood-Rail,Crypturellus obsoletus griseiventris,north-central and southwestern Brazil (Santarém region along Rio Tapajós and upper Rio Madeira in Rondônia),Tinamiformes,Tinamidae (Tinamous),,,83,Graubauch-Krypturellus,Cripturelo grisventre,Криптуреллус сіробокий,كريبتوريلوس رمادي البطن
104,brntin10,,,subspecies,Gray-breasted Wood-Rail,Crypturellus obsoletus obsoletus,eastern Paraguay to southeastern Brazil and far northeastern Argentina (Misiones),Tinamiformes,Tinamidae (Tinamous),,,85,Schwarzbrust-Perlhuhn,Pava de monte,Глухар звичайний,دراج أسود الصدر
105,undtin1,,,species,Undulated Tinamou,Crypturellus undulatus,,Tinamiformes,Tinamidae (Tinamous),,,86,Wellen-Tinamou,Tinamú ondulado,Хвилястий тинаму,تينامو متموج
106,undtin2,,,subspecies,Undulated Tinamou,Crypturellus undulatus manapiare,southern Venezuela (upper Rio Ventuari in Amazonas),Tinamiformes,Tinamidae (Tinamous),,,87,Manapiare-Waldhuhn,Pava de Manapiare,Манапіарське куріпка,دجاجة مانابيار
107,undtin3,,,subspecies,Undulated Tinamou,Crypturellus undulatus simplex,southwestern Guyana and adjacent Brazil,Tinamiformes,Tinamidae (Tinamous),,,88,Wellenhalsstrauß,Codorniz de pico de paloma,Куріпка хвиляста,دراج متعرج
108,undtin4,,,subspecies,Undulated Tinamou,Crypturellus undulatus yapura,"southeastern Colombia to eastern Ecuador, eastern Peru, and northwestern Brazil (eastward to Rio Negro and Rio Purus, northwestern and southwestern Amazonas, respectively)",Tinamiformes,Tinamidae (Tinamous),,,89,Wellenhalsstrauß,Pava de monte,Гребінчастий куріпка,دراج
109,undtin5,,,subspecies,Undulated Tinamou,Crypturellus undulatus vermiculatus,eastern Brazil (southern Maranhão to Mato Grosso),Tinamiformes,Tinamidae (Tinamous),,,90,Wellenhalsstrauß,Codorniz de pico de paloma,Куріпка хвиляста,دراج متعرج
110,undtin6,,,subspecies,Undulated Tinamou,Crypturellus undulatus adspersus,Brazil south of the Amazon River (Rio Madeira to Rio Tapajós),Tinamiformes,Tinamidae (Tinamous),,,91,Wellenhalsstrauß,Pava de monte,Гірська курка,دراج
111,undtin7,,,subspecies,Undulated Tinamou,Crypturellus undulatus undulatus,southeastern Peru to northern Argentina,Tinamiformes,Tinamidae (Tinamous),,,92,Wellenhühnchen,Pava de monte ondulada,Гірська курка хвиляста,دجاجة الجبال المتموجة
112,pabtin1,,,species,Pale-browed Tinamou,Crypturellus transfasciatus,tropical forest of western Ecuador to northwestern Peru,Tinamiformes,Tinamidae (Tinamous),,,93,Blassbrauen-Tinamou,Tinamú de cejas pálidas,Тинаму з блідими бровами,تينامو ذو الحواجب الشاحبة
